	mean_difference	disparate_impact	Opt_Acc	Priv_Acc	Unpriv_Acc	Priv_True_pos	Priv_False_pos	Unpriv_True_pos	Unpriv_False_pos
20	-0.013990267639902687	0.8849999999999999	0.1150000000000001	0.5568734793187348	0.5717761557177615	0.541970802919708	0.19343065693430658	0.049878345498783457	0.14963503649635038
21	-0.04257907542579076	0.9372197309417041	0.06278026905829592	0.6167883211678832	0.6514598540145985	0.5821167883211679	0.829683698296837	0.5267639902676399	0.7177615571776156
22	-0.04440389294403892	0.6866952789699572	0.3133047210300428	0.5465328467153284	0.5383211678832117	0.5547445255474452	0.18004866180048662	0.10340632603406326	0.15206812652068127
23	-0.023114355231143566	0.8164251207729468	0.18357487922705318	0.5608272506082725	0.5760340632603407	0.5456204379562044	0.20194647201946472	0.049878345498783457	0.14841849148418493
24	-0.04744525547445255	0.9296028880866426	0.0703971119133574	0.6027980535279805	0.6472019464720195	0.5583941605839416	0.8211678832116789	0.5267639902676399	0.6849148418491484
25	-0.03223844282238443	0.7623318385650224	0.2376681614349776	0.5434914841849149	0.5322384428223844	0.5547445255474452	0.1678832116788321	0.10340632603406326	0.15815085158150852
26	-0.007907542579075416	0.9326424870466322	0.06735751295336778	0.5574817518248175	0.5675182481751825	0.5474452554744526	0.18491484184914841	0.049878345498783457	0.15693430656934307
27	-0.03771289537712896	0.9443946188340807	0.05560538116591929	0.6052311435523114	0.6514598540145985	0.5590024330900243	0.829683698296837	0.5267639902676399	0.6995133819951338
28	-0.045012165450121655	0.6605504587155964	0.33944954128440363	0.5364963503649635	0.5291970802919708	0.5437956204379562	0.16180048661800486	0.10340632603406326	0.13138686131386862
29	-0.018248175182481743	0.8461538461538463	0.15384615384615374	0.5517031630170316	0.568734793187348	0.5346715328467153	0.1873479318734793	0.049878345498783457	0.13503649635036497
30	-0.03771289537712896	0.9442946990116802	0.05570530098831983	0.6125304136253041	0.6502433090024331	0.5748175182481752	0.8272506082725061	0.5267639902676399	0.7141119221411192
31	-0.04805352798053528	0.6550218340611353	0.34497816593886466	0.5404501216545012	0.5358880778588808	0.5450121654501217	0.17518248175182483	0.10340632603406326	0.1362530413625304
32	-0.014598540145985411	0.879396984924623	0.12060301507537696	0.5583941605839416	0.5711678832116789	0.5456204379562044	0.1922141119221411	0.049878345498783457	0.15206812652068127
33	-0.0468369829683698	0.9308797127468582	0.06912028725314179	0.6085766423357665	0.6508515815085159	0.566301703163017	0.8284671532846716	0.5267639902676399	0.6970802919708029
34	-0.046228710462287104	0.6576576576576577	0.3423423423423423	0.5364963503649635	0.5316301703163017	0.5413625304136253	0.16666666666666666	0.10340632603406326	0.13017031630170317
35	-0.018856447688564468	0.839378238341969	0.160621761658031	0.5538321167883211	0.5675182481751825	0.5401459854014599	0.18491484184914841	0.049878345498783457	0.1386861313868613
36	-0.015815085158150888	0.9764065335753176	0.023593466424682408	0.6009732360097324	0.6435523114355232	0.5583941605839416	0.8138686131386861	0.5267639902676399	0.7128953771289538
